,ONS LA Code,variable,value,year,quarter,PCP
405,E06000015,2020 Q2,1631.0,2020,Q2,0.0
406,E06000016,2020 Q2,822.0,2020,Q2,0.0
407,E06000018,2020 Q2,770.0,2020,Q2,0.0
408,E06000017,2020 Q2,184.0,2020,Q2,0.0
409,E10000007,2020 Q2,2894.0,2020,Q2,0.0
410,E07000032,2020 Q2,383.0,2020,Q2,0.0
411,E07000033,2020 Q2,136.0,2020,Q2,0.0
412,E07000034,2020 Q2,766.0,2020,Q2,0.0
413,E07000035,2020 Q2,327.0,2020,Q2,0.0
414,E07000036,2020 Q2,389.0,2020,Q2,0.0
415,E07000037,2020 Q2,256.0,2020,Q2,0.0
416,E07000038,2020 Q2,338.0,2020,Q2,0.0
417,E07000039,2020 Q2,299.0,2020,Q2,0.0
418,E10000018,2020 Q2,2341.0,2020,Q2,0.0
419,E07000129,2020 Q2,385.0,2020,Q2,0.0
420,E07000130,2020 Q2,558.0,2020,Q2,0.0
421,E07000131,2020 Q2,414.0,2020,Q2,0.0
422,E07000132,2020 Q2,333.0,2020,Q2,0.0
423,E07000133,2020 Q2,164.0,2020,Q2,0.0
424,E07000134,2020 Q2,350.0,2020,Q2,0.0
425,E07000135,2020 Q2,132.0,2020,Q2,0.0
426,E07000136,2020 Q2,110.0,2020,Q2,0.0
427,E07000138,2020 Q2,157.0,2020,Q2,0.0
428,E07000139,2020 Q2,341.0,2020,Q2,0.0
429,E07000140,2020 Q2,208.0,2020,Q2,0.0
430,E07000141,2020 Q2,383.0,2020,Q2,0.0
431,E07000142,2020 Q2,278.0,2020,Q2,0.0
432,E07000150,2020 Q2,179.0,2020,Q2,0.0
433,E07000152,2020 Q2,284.0,2020,Q2,0.0
434,E07000153,2020 Q2,1085.0,2020,Q2,0.0
435,E07000155,2020 Q2,829.0,2020,Q2,0.0
436,E07000156,2020 Q2,205.0,2020,Q2,0.0
437,E10000024,2020 Q2,2245.0,2020,Q2,0.0
438,E07000170,2020 Q2,221.0,2020,Q2,0.0
439,E07000171,2020 Q2,263.0,2020,Q2,0.0
440,E07000172,2020 Q2,306.0,2020,Q2,0.0
441,E07000173,2020 Q2,339.0,2020,Q2,0.0
442,E07000174,2020 Q2,175.0,2020,Q2,0.0
443,E07000175,2020 Q2,379.0,2020,Q2,0.0
444,E07000176,2020 Q2,562.0,2020,Q2,0.0
445,E06000051,2020 Q2,1165.0,2020,Q2,0.0
446,E10000028,2020 Q2,2488.0,2020,Q2,0.0
447,E07000192,2020 Q2,307.0,2020,Q2,0.0
448,E07000195,2020 Q2,287.0,2020,Q2,0.0
449,E07000196,2020 Q2,301.0,2020,Q2,0.0
450,E07000197,2020 Q2,427.0,2020,Q2,0.0
451,E07000218,2020 Q2,205.0,2020,Q2,0.0
452,E07000219,2020 Q2,230.0,2020,Q2,0.0
453,E07000221,2020 Q2,984.0,2020,Q2,0.0
454,E07000222,2020 Q2,1103.0,2020,Q2,0.0
455,E11000005,2020 Q2,32427.0,2020,Q2,0.0
456,E08000026,2020 Q2,643.0,2020,Q2,0.0
457,E08000027,2020 Q2,617.0,2020,Q2,0.0
458,E08000028,2020 Q2,515.0,2020,Q2,0.0
459,E08000029,2020 Q2,4963.0,2020,Q2,0.0
460,E08000031,2020 Q2,363.0,2020,Q2,0.0
461,E10000034,2020 Q2,2547.0,2020,Q2,0.0
462,E07000234,2020 Q2,561.0,2020,Q2,0.0
463,E07000235,2020 Q2,367.0,2020,Q2,0.0
464,E07000236,2020 Q2,195.0,2020,Q2,0.0
465,E07000238,2020 Q2,681.0,2020,Q2,0.0
466,E07000239,2020 Q2,224.0,2020,Q2,0.0
467,E06000055,2020 Q2,724.0,2020,Q2,0.0
468,E06000032,2020 Q2,444.0,2020,Q2,0.0
469,E06000031,2020 Q2,13451.0,2020,Q2,0.0
470,E06000033,2020 Q2,360.0,2020,Q2,0.0
471,E10000003,2020 Q2,3252.0,2020,Q2,0.0
472,E07000008,2020 Q2,519.0,2020,Q2,0.0
473,E07000009,2020 Q2,396.0,2020,Q2,0.0
474,E07000010,2020 Q2,186.0,2020,Q2,0.0
